ID,Tipo Dispositivo,Marca,Modelo,Descripcion Problema,Descripcion Solucion,Costo Estimado,Costo Final,Estado,Fecha Admision,Fecha Entrega,Notas
5,CONSOLA,Sony,PS5,Joystick izquierdo mal,Cambio de joystick,35.0,35.0,LISTO,04/01/2026 18:49,04/01/2026 18:49,
4,CONSOLA,Sony,PS5,Hdmi roto,Cambio hdmi + limpieza interna,115.0,115.0,LISTO,04/01/2026 17:41,04/01/2026 17:41,
